"","TDS","URANIUM","HCO3","DEFINITION"
"1",682.6499023,0.931499958,0,"<=50%"
"2",819.119873,1.937999964,0,"<=50%"
"3",303.7600098,0.2918999791,0,"<=50%"
"4",1151.399902,11.90419769,0,"<=50%"
"5",582.4199219,1.567399979,0,"<=50%"
"6",1043.389893,2.062299728,0,"<=50%"
"7",634.8399658,3.885799885,0,"<=50%"
"8",1087.25,0.9771999121,0,"<=50%"
"9",1123.51001,1.935399771,0,"<=50%"
"10",688.0899658,0.4366999865,0,"<=50%"
"11",1174.539795,10.11419868,0,"<=50%"
"12",599.5,0.7550998926,0,"<=50%"
"13",1240.810059,6.855899811,0,"<=50%"
"14",538.3499756,0.4805999398,0,"<=50%"
"15",607.75,1.145199776,0,"<=50%"
"16",705.8898926,6.087599754,0,"<=50%"
"17",1290.569824,10.88229942,0,"<=50%"
"18",526.0899658,0.147300005,0,"<=50%"
"19",784.6799316,2.674099445,0,"<=50%"
"20",953.1398926,3.091799736,0,"<=50%"
"21",1149.310059,0.7591998577,0,"<=50%"
"22",1074.219971,3.710099697,0,"<=50%"
"23",1116.589844,7.244599342,0,"<=50%"
"24",301.1999512,5.718999863,1,">50%"
"25",265.4499512,4.736599922,1,">50%"
"26",295.8799438,2.805699825,1,">50%"
"27",442.3599854,5.62899971,1,">50%"
"28",342.7099609,3.09499979,1,">50%"
"29",361.2999878,3.577399731,1,">50%"
"30",262.0699463,1.771099806,1,">50%"
"31",546.2199707,11.2723999,1,">50%"
"32",273.8899536,4.980699539,1,">50%"
"33",281.3799438,4.083299637,1,">50%"
"34",588.8599854,14.63419914,1,">50%"
"35",574.1099854,12.38349915,1,">50%"
"36",307.0899658,1.529099941,1,">50%"
"37",409.3699951,4.464699745,1,">50%"
"38",327.0699463,2.457399845,1,">50%"
"39",425.6899414,6.304199219,1,">50%"
"40",310.0499878,4.544099808,1,">50%"
"41",289.75,0.9671999216,1,">50%"
"42",408.1799927,2.156799793,1,">50%"
"43",383.039978,8.380998611,1,">50%"
"44",255.1899719,2.795699596,1,">50%"
